2026-01-15 14:26:50,078 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/55 DOWN for 16 seconds
2026-01-15 14:26:50,078 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/46 DOWN for 16 seconds
2026-01-15 14:26:50,080 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/59 DOWN for 16 seconds
2026-01-15 14:26:50,081 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/58 DOWN for 16 seconds
2026-01-15 14:26:50,081 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/53 DOWN for 16 seconds
2026-01-15 14:26:50,082 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/56 DOWN for 16 seconds
2026-01-15 14:26:50,104 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/60 DOWN for 16 seconds
2026-01-15 14:26:50,116 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/61 DOWN for 16 seconds
2026-01-15 14:26:50,117 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/64 DOWN for 16 seconds
2026-01-15 14:26:50,120 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/62 DOWN for 16 seconds
2026-01-15 14:26:50,123 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/78 DOWN for 16 seconds
2026-01-15 14:26:50,124 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/70 DOWN for 16 seconds
2026-01-15 14:26:50,125 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/75 DOWN for 16 seconds
2026-01-15 14:26:50,125 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/66 DOWN for 16 seconds
2026-01-15 14:26:50,125 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/63 DOWN for 16 seconds
2026-01-15 14:26:50,125 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/79 DOWN for 16 seconds
2026-01-15 14:26:50,126 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/65 DOWN for 16 seconds
2026-01-15 14:26:50,126 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/67 DOWN for 16 seconds
2026-01-15 14:26:50,129 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/69 DOWN for 16 seconds
2026-01-15 14:26:50,129 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/73 DOWN for 16 seconds
2026-01-15 14:26:50,130 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/68 DOWN for 16 seconds
2026-01-15 14:26:50,132 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/72 DOWN for 16 seconds
2026-01-15 14:26:50,133 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/71 DOWN for 16 seconds
2026-01-15 14:26:50,133 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/76 DOWN for 16 seconds
2026-01-15 14:26:50,217 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/74 DOWN for 16 seconds
2026-01-15 14:26:50,217 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/77 DOWN for 16 seconds
2026-01-15 14:26:50,218 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/80 DOWN for 16 seconds
